session_id,user_id,session_score,session_confidence,old_profile,updated_profile,alpha,aggregation_status
S_P_41b64c1244,P_41b64c1244,"{""personality_agreeableness"": 89.0555, ""personality_conscientiousness"": 95.9386, ""personality_extraversion"": 14.0029, ""personality_neuroticism"": 8.7883, ""personality_openness"": 60.6874}",0.6117,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.81, ""personality_conscientiousness"": 59.19, ""personality_extraversion"": 42.8, ""personality_neuroticism"": 41.76, ""personality_openness"": 52.14}",0.2,ok
S_P_4674ab2c43,P_4674ab2c43,"{""personality_agreeableness"": 82.7362, ""personality_conscientiousness"": 96.5191, ""personality_extraversion"": 13.8107, ""personality_neuroticism"": 14.1429, ""personality_openness"": 62.8513}",0.5833,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 56.55, ""personality_conscientiousness"": 59.3, ""personality_extraversion"": 42.76, ""personality_neuroticism"": 42.83, ""personality_openness"": 52.57}",0.2,ok
S_P_468446e947,P_468446e947,"{""personality_agreeableness"": 91.8171, ""personality_conscientiousness"": 95.0169, ""personality_extraversion"": 16.135, ""personality_neuroticism"": 6.7949, ""personality_openness"": 62.6015}",0.585,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 58.36, ""personality_conscientiousness"": 59.0, ""personality_extraversion"": 43.23, ""personality_neuroticism"": 41.36, ""personality_openness"": 52.52}",0.2,ok
S_P_4c7499a8e1,P_4c7499a8e1,"{""personality_agreeableness"": 76.9368, ""personality_conscientiousness"": 92.8672, ""personality_extraversion"": 10.3718, ""personality_neuroticism"": 21.8389, ""personality_openness"": 57.9574}",0.5483,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.39, ""personality_conscientiousness"": 58.57, ""personality_extraversion"": 42.07, ""personality_neuroticism"": 44.37, ""personality_openness"": 51.59}",0.2,ok
S_P_4cbb7f1057,P_4cbb7f1057,"{""personality_agreeableness"": 82.0611, ""personality_conscientiousness"": 91.2841, ""personality_extraversion"": 19.2462, ""personality_neuroticism"": 15.7745, ""personality_openness"": 61.1787}",0.6133,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 56.41, ""personality_conscientiousness"": 58.26, ""personality_extraversion"": 43.85, ""personality_neuroticism"": 43.15, ""personality_openness"": 52.24}",0.2,ok
S_P_5a3e4b9932,P_5a3e4b9932,"{""personality_agreeableness"": 81.5702, ""personality_conscientiousness"": 94.9634, ""personality_extraversion"": 15.5364, ""personality_neuroticism"": 16.8544, ""personality_openness"": 60.981}",0.6067,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 56.31, ""personality_conscientiousness"": 58.99, ""personality_extraversion"": 43.11, ""personality_neuroticism"": 43.37, ""personality_openness"": 52.2}",0.2,ok
S_P_61be4ea8a2,P_61be4ea8a2,"{""personality_agreeableness"": 76.5102, ""personality_conscientiousness"": 92.3443, ""personality_extraversion"": 16.4066, ""personality_neuroticism"": 22.8838, ""personality_openness"": 60.9055}",0.6242,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.3, ""personality_conscientiousness"": 58.47, ""personality_extraversion"": 43.28, ""personality_neuroticism"": 44.58, ""personality_openness"": 52.18}",0.2,ok
S_P_64e36cb44f,P_64e36cb44f,"{""personality_agreeableness"": 86.9026, ""personality_conscientiousness"": 90.8748, ""personality_extraversion"": 29.7871, ""personality_neuroticism"": 11.9575, ""personality_openness"": 64.9814}",0.7067,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.38, ""personality_conscientiousness"": 58.17, ""personality_extraversion"": 45.96, ""personality_neuroticism"": 42.39, ""personality_openness"": 53.0}",0.2,ok
S_P_67e7565388,P_67e7565388,"{""personality_agreeableness"": 85.6324, ""personality_conscientiousness"": 96.9032, ""personality_extraversion"": 9.5912, ""personality_neuroticism"": 15.0, ""personality_openness"": 62.6981}",0.6017,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.13, ""personality_conscientiousness"": 59.38, ""personality_extraversion"": 41.92, ""personality_neuroticism"": 43.0, ""personality_openness"": 52.54}",0.2,ok
S_P_6ecb074317,P_6ecb074317,"{""personality_agreeableness"": 84.7418, ""personality_conscientiousness"": 98.9766, ""personality_extraversion"": 9.1018, ""personality_neuroticism"": 14.1818, ""personality_openness"": 62.1677}",0.55,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 56.95, ""personality_conscientiousness"": 59.8, ""personality_extraversion"": 41.82, ""personality_neuroticism"": 42.84, ""personality_openness"": 52.43}",0.2,ok
S_P_7c4fcf4c91,P_7c4fcf4c91,"{""personality_agreeableness"": 86.3095, ""personality_conscientiousness"": 94.4343, ""personality_extraversion"": 25.1069, ""personality_neuroticism"": 11.9492, ""personality_openness"": 72.2059}",0.59,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.26, ""personality_conscientiousness"": 58.89, ""personality_extraversion"": 45.02, ""personality_neuroticism"": 42.39, ""personality_openness"": 54.44}",0.2,ok
S_P_7f237bb8b9,P_7f237bb8b9,"{""personality_agreeableness"": 92.0391, ""personality_conscientiousness"": 96.7379, ""personality_extraversion"": 27.4271, ""personality_neuroticism"": 9.0632, ""personality_openness"": 70.9598}",0.7117,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 58.41, ""personality_conscientiousness"": 59.35, ""personality_extraversion"": 45.49, ""personality_neuroticism"": 41.81, ""personality_openness"": 54.19}",0.2,ok
S_P_804d5451c2,P_804d5451c2,"{""personality_agreeableness"": 82.3501, ""personality_conscientiousness"": 95.1791, ""personality_extraversion"": 12.909, ""personality_neuroticism"": 16.562, ""personality_openness"": 62.0968}",0.605,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 56.47, ""personality_conscientiousness"": 59.04, ""personality_extraversion"": 42.58, ""personality_neuroticism"": 43.31, ""personality_openness"": 52.42}",0.2,ok
S_P_8ef3d8ec3f,P_8ef3d8ec3f,"{""personality_agreeableness"": 83.5887, ""personality_conscientiousness"": 95.979, ""personality_extraversion"": 16.0513, ""personality_neuroticism"": 16.7484, ""personality_openness"": 63.6846}",0.6458,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 56.72, ""personality_conscientiousness"": 59.2, ""personality_extraversion"": 43.21, ""personality_neuroticism"": 43.35, ""personality_openness"": 52.74}",0.2,ok
S_P_8f901ab43e,P_8f901ab43e,"{""personality_agreeableness"": 89.8318, ""personality_conscientiousness"": 96.7914, ""personality_extraversion"": 25.7869, ""personality_neuroticism"": 11.1934, ""personality_openness"": 69.1037}",0.7342,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.97, ""personality_conscientiousness"": 59.36, ""personality_extraversion"": 45.16, ""personality_neuroticism"": 42.24, ""personality_openness"": 53.82}",0.2,ok
S_P_910f62751c,P_910f62751c,"{""personality_agreeableness"": 76.46, ""personality_conscientiousness"": 94.2943, ""personality_extraversion"": 12.1875, ""personality_neuroticism"": 21.25, ""personality_openness"": 59.7812}",0.54,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.29, ""personality_conscientiousness"": 58.86, ""personality_extraversion"": 42.44, ""personality_neuroticism"": 44.25, ""personality_openness"": 51.96}",0.2,ok
S_P_99f74b3824,P_99f74b3824,"{""personality_agreeableness"": 75.559, ""personality_conscientiousness"": 94.5804, ""personality_extraversion"": 10.6997, ""personality_neuroticism"": 26.2235, ""personality_openness"": 61.2203}",0.5892,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.11, ""personality_conscientiousness"": 58.92, ""personality_extraversion"": 42.14, ""personality_neuroticism"": 45.24, ""personality_openness"": 52.24}",0.2,ok
S_P_c5b4fe504a,P_c5b4fe504a,"{""personality_agreeableness"": 85.1479, ""personality_conscientiousness"": 94.0896, ""personality_extraversion"": 13.0973, ""personality_neuroticism"": 14.1226, ""personality_openness"": 60.4016}",0.5983,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.03, ""personality_conscientiousness"": 58.82, ""personality_extraversion"": 42.62, ""personality_neuroticism"": 42.82, ""personality_openness"": 52.08}",0.2,ok
S_P_c7408dd487,P_c7408dd487,"{""personality_agreeableness"": 65.9424, ""personality_conscientiousness"": 77.4312, ""personality_extraversion"": 12.087, ""personality_neuroticism"": 30.0, ""personality_openness"": 38.9181}",0.52,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 53.19, ""personality_conscientiousness"": 55.49, ""personality_extraversion"": 42.42, ""personality_neuroticism"": 46.0, ""personality_openness"": 47.78}",0.2,ok
S_P_d28ed72b52,P_d28ed72b52,"{""personality_agreeableness"": 69.43, ""personality_conscientiousness"": 94.0212, ""personality_extraversion"": 10.9935, ""personality_neuroticism"": 30.0, ""personality_openness"": 62.9638}",0.52,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 53.89, ""personality_conscientiousness"": 58.8, ""personality_extraversion"": 42.2, ""personality_neuroticism"": 46.0, ""personality_openness"": 52.59}",0.2,ok
S_P_da97514638,P_da97514638,"{""personality_agreeableness"": 88.2515, ""personality_conscientiousness"": 96.5761, ""personality_extraversion"": 23.7907, ""personality_neuroticism"": 13.1604, ""personality_openness"": 72.0829}",0.7067,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.65, ""personality_conscientiousness"": 59.32, ""personality_extraversion"": 44.76, ""personality_neuroticism"": 42.63, ""personality_openness"": 54.42}",0.2,ok
S_P_ddeb7f5649,P_ddeb7f5649,"{""personality_agreeableness"": 88.6924, ""personality_conscientiousness"": 89.6432, ""personality_extraversion"": 28.4397, ""personality_neuroticism"": 10.6582, ""personality_openness"": 64.7306}",0.7217,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.74, ""personality_conscientiousness"": 57.93, ""personality_extraversion"": 45.69, ""personality_neuroticism"": 42.13, ""personality_openness"": 52.95}",0.2,ok
S_P_ec2d573723,P_ec2d573723,"{""personality_agreeableness"": 74.7508, ""personality_conscientiousness"": 94.8658, ""personality_extraversion"": 9.637, ""personality_neuroticism"": 24.6729, ""personality_openness"": 60.0929}",0.535,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 54.95, ""personality_conscientiousness"": 58.97, ""personality_extraversion"": 41.93, ""personality_neuroticism"": 44.93, ""personality_openness"": 52.02}",0.2,ok
S_P_f2f8dabf10,P_f2f8dabf10,"{""personality_agreeableness"": 77.2272, ""personality_conscientiousness"": 95.6697, ""personality_extraversion"": 14.4376, ""personality_neuroticism"": 19.9548, ""personality_openness"": 61.0615}",0.5533,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.45, ""personality_conscientiousness"": 59.13, ""personality_extraversion"": 42.89, ""personality_neuroticism"": 43.99, ""personality_openness"": 52.21}",0.2,ok
