user_id,session_id,participant_id,age_group,gender,education,bfi_version,bfi_q1,bfi_q2,bfi_q3,bfi_q4,bfi_q5,bfi_q6,bfi_q7,bfi_q8,bfi_q9,bfi_q10,bfi_q11,bfi_q12,bfi_q13,bfi_q14,bfi_q15,bfi_q16,bfi_q17,bfi_q18,bfi_q19,bfi_q20,bfi_q21,bfi_q22,bfi_q23,bfi_q24,bfi_q25,bfi_q26,bfi_q27,bfi_q28,bfi_q29,bfi_q30,bfi_O_raw,bfi_C_raw,bfi_E_raw,bfi_A_raw,bfi_N_raw,bfi_O_100,bfi_C_100,bfi_E_100,bfi_A_100,bfi_N_100,facet_E_sociability_raw,facet_E_assertiveness_raw,facet_E_energy_raw,facet_A_compassion_raw,facet_A_respectfulness_raw,facet_A_trust_raw,facet_C_organization_raw,facet_C_productiveness_raw,facet_C_responsibility_raw,facet_N_anxiety_raw,facet_N_depression_raw,facet_N_emotional_volatility_raw,facet_O_aesthetic_sensitivity_raw,facet_O_intellectual_curiosity_raw,facet_O_creative_imagination_raw,facet_E_sociability_100,facet_E_assertiveness_100,facet_E_energy_100,facet_A_compassion_100,facet_A_respectfulness_100,facet_A_trust_100,facet_C_organization_100,facet_C_productiveness_100,facet_C_responsibility_100,facet_N_anxiety_100,facet_N_depression_100,facet_N_emotional_volatility_100,facet_O_aesthetic_sensitivity_100,facet_O_intellectual_curiosity_100,facet_O_creative_imagination_100
P_3a2fbfd105,S_P_3a2fbfd105,P_3a2fbfd105,18-22岁,女,身份类型：本科生,BFI-2-S,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,3.67,2.83,3.0,3.17,3.33,66.75,45.75,50.0,54.25,58.25,3.5,2.5,3.0,3.0,3.5,3.0,2.5,3.0,3.0,3.5,4.0,2.5,4.0,4.0,3.0,62.5,37.5,50.0,50.0,62.5,50.0,37.5,50.0,50.0,62.5,75.0,37.5,75.0,75.0,50.0
P_3bc017602d,S_P_3bc017602d,P_3bc017602d,18-22岁,女,身份类型：本科生,BFI-2-S,5.0,4.0,2.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,1.0,5.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3.5,1.83,3.33,3.83,75.0,62.5,20.75,58.25,70.75,1.0,2.0,2.5,3.5,4.0,2.5,4.0,2.5,4.0,4.5,4.5,2.5,5.0,3.0,4.0,0.0,25.0,37.5,62.5,75.0,37.5,75.0,37.5,75.0,87.5,87.5,37.5,100.0,50.0,75.0
P_41b64c1244,S_P_41b64c1244,P_41b64c1244,18-22岁,女,身份类型：本科生,BFI-2-S,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.83,3.33,2.5,3.83,2.67,45.75,58.25,37.5,70.75,41.75,2.0,2.5,3.0,3.5,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.5,2.5,3.5,25.0,37.5,50.0,62.5,75.0,75.0,75.0,50.0,50.0,50.0,50.0,25.0,37.5,37.5,62.5
P_4674ab2c43,S_P_4674ab2c43,P_4674ab2c43,18-22岁,男,身份类型：本科生,BFI-2-S,1.0,4.0,1.0,3.0,4.0,5.0,1.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,3.5,4.5,4.83,3.67,2.17,62.5,87.5,95.75,66.75,29.25,5.0,5.0,4.5,2.5,5.0,3.5,4.5,4.5,4.5,2.5,2.0,2.0,3.5,3.5,3.5,100.0,100.0,87.5,37.5,100.0,62.5,87.5,87.5,87.5,37.5,25.0,25.0,62.5,62.5,62.5
P_468446e947,S_P_468446e947,P_468446e947,23-30岁,女,身份类型：研究生,BFI-2-S,5.0,5.0,3.0,3.0,5.0,2.0,1.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,4.33,3.67,2.17,4.33,2.0,83.25,66.75,29.25,83.25,25.0,1.5,1.5,3.5,3.5,5.0,4.5,4.0,3.5,3.5,2.0,3.0,1.0,5.0,4.5,3.5,12.5,12.5,62.5,62.5,100.0,87.5,75.0,62.5,62.5,25.0,50.0,0.0,100.0,87.5,62.5
P_4c7499a8e1,S_P_4c7499a8e1,P_4c7499a8e1,31岁及以上,,,BFI-2-S,5.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,3.83,4.5,2.5,4.0,2.0,70.75,87.5,37.5,75.0,25.0,2.0,2.5,3.0,4.0,4.5,3.5,4.5,4.5,4.5,2.5,1.5,2.0,4.5,4.0,3.0,25.0,37.5,50.0,75.0,87.5,62.5,87.5,87.5,87.5,37.5,12.5,25.0,87.5,75.0,50.0
P_4cbb7f1057,S_P_4cbb7f1057,P_4cbb7f1057,18-22岁,女,身份类型：本科生；补充说明：实习生,BFI-2-S,2.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,2.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,3.83,2.83,3.67,4.33,3.0,70.75,45.75,66.75,83.25,50.0,4.0,3.0,4.0,4.5,4.5,4.0,2.5,3.0,3.0,3.5,2.5,3.0,4.0,3.5,4.0,75.0,50.0,75.0,87.5,87.5,75.0,37.5,50.0,50.0,62.5,37.5,50.0,75.0,62.5,75.0
P_5a3e4b9932,S_P_5a3e4b9932,P_5a3e4b9932,18-22岁,女,身份类型：本科生,BFI-2-S,1.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,1.0,4.17,3.33,4.17,3.67,2.83,79.25,58.25,79.25,66.75,45.75,5.0,4.0,3.5,4.0,3.5,3.5,3.5,3.5,3.0,2.0,2.5,4.0,3.5,4.0,5.0,100.0,75.0,62.5,75.0,62.5,62.5,62.5,62.5,50.0,25.0,37.5,75.0,62.5,75.0,100.0
P_61be4ea8a2,S_P_61be4ea8a2,P_61be4ea8a2,23-30岁,女,身份类型：研究生,BFI-2-S,1.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.5,3.0,3.67,3.5,3.33,37.5,50.0,66.75,62.5,58.25,4.5,3.0,3.5,3.5,4.0,3.0,2.5,3.0,3.5,3.5,3.0,3.5,2.0,2.5,3.0,87.5,50.0,62.5,62.5,75.0,50.0,37.5,50.0,62.5,62.5,50.0,62.5,25.0,37.5,50.0
P_64e36cb44f,S_P_64e36cb44f,P_64e36cb44f,18-22岁,女,身份类型：本科生,BFI-2-S,2.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,1.0,4.0,1.0,4.0,2.0,4.17,3.67,3.67,1.5,25.0,79.25,66.75,66.75,12.5,4.0,4.5,2.5,3.0,5.0,3.0,4.5,4.5,3.5,2.0,1.5,1.0,1.0,3.0,2.0,75.0,87.5,37.5,50.0,100.0,50.0,87.5,87.5,62.5,25.0,12.5,0.0,0.0,50.0,25.0
P_67e7565388,S_P_67e7565388,P_67e7565388,18-22岁,女,身份类型：本科生,BFI-2-S,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,50.0,50.0,50.0,37.5,50.0,3.0,3.0,3.0,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0,50.0,50.0,37.5,37.5,37.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
P_6ecb074317,S_P_6ecb074317,P_6ecb074317,18-22岁,女,身份类型：本科生,BFI-2-S,4.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,3.0,2.17,2.17,3.67,3.67,50.0,29.25,29.25,66.75,66.75,2.0,3.0,1.5,3.5,4.5,3.0,2.0,1.5,3.0,4.0,4.0,3.0,4.0,2.0,3.0,25.0,50.0,12.5,62.5,87.5,50.0,25.0,12.5,50.0,75.0,75.0,50.0,75.0,25.0,50.0
P_7c4fcf4c91,S_P_7c4fcf4c91,P_7c4fcf4c91,,,,BFI-2-S,5.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,3.33,3.33,1.67,4.0,3.33,58.25,58.25,16.75,75.0,58.25,1.0,1.5,2.5,4.5,3.5,4.0,3.0,3.5,3.5,4.0,4.5,1.5,3.5,3.5,3.0,0.0,12.5,37.5,87.5,62.5,75.0,50.0,62.5,62.5,75.0,87.5,12.5,62.5,62.5,50.0
P_7f237bb8b9,S_P_7f237bb8b9,P_7f237bb8b9,18-22岁,女,身份类型：本科生,BFI-2-S,2.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.17,3.83,3.67,3.33,3.0,54.25,70.75,66.75,58.25,50.0,3.5,3.5,4.0,4.0,3.5,2.5,4.0,4.0,3.5,3.5,2.5,3.0,3.0,3.5,3.0,62.5,62.5,75.0,75.0,62.5,37.5,75.0,75.0,62.5,62.5,37.5,50.0,50.0,62.5,50.0
P_804d5451c2,S_P_804d5451c2,P_804d5451c2,18-22岁,女,身份类型：本科生,BFI-2-S,1.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,3.17,3.5,4.17,3.67,2.67,54.25,62.5,79.25,66.75,41.75,4.5,4.0,4.0,4.5,3.5,3.0,3.0,4.0,3.5,3.0,3.0,2.0,2.5,3.5,3.5,87.5,75.0,75.0,87.5,62.5,50.0,50.0,75.0,62.5,50.0,50.0,25.0,37.5,62.5,62.5
P_8ef3d8ec3f,S_P_8ef3d8ec3f,P_8ef3d8ec3f,18-22岁,女,身份类型：本科生,BFI-2-S,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.33,2.5,2.67,3.5,3.17,58.25,37.5,41.75,62.5,54.25,3.0,1.5,3.5,4.0,4.0,2.5,2.5,3.0,2.0,4.0,2.5,3.0,4.5,2.0,3.5,50.0,12.5,62.5,75.0,75.0,37.5,37.5,50.0,25.0,75.0,37.5,50.0,87.5,25.0,62.5
P_8f901ab43e,S_P_8f901ab43e,P_8f901ab43e,,,,BFI-2-S,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.33,3.17,2.33,3.5,2.33,58.25,54.25,33.25,62.5,33.25,2.0,2.5,2.5,3.5,4.0,3.0,3.5,3.0,3.0,2.5,2.0,2.5,3.5,4.0,2.5,25.0,37.5,37.5,62.5,75.0,50.0,62.5,50.0,50.0,37.5,25.0,37.5,62.5,75.0,37.5
P_910f62751c,S_P_910f62751c,P_910f62751c,,,,BFI-2-S,3.0,5.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,4.0,2.33,3.33,3.0,3.5,4.33,33.25,58.25,50.0,62.5,83.25,3.0,3.0,3.0,4.0,3.5,3.0,3.5,3.5,3.0,4.5,4.0,4.5,3.0,1.5,2.5,50.0,50.0,50.0,75.0,62.5,50.0,62.5,62.5,50.0,87.5,75.0,87.5,50.0,12.5,37.5
P_99f74b3824,S_P_99f74b3824,P_99f74b3824,23-30岁,女,身份类型：职场人士,BFI-2-S,5.0,5.0,3.0,4.0,5.0,2.0,4.0,5.0,5.0,3.0,1.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,1.0,4.33,3.33,1.83,3.33,4.17,83.25,58.25,20.75,58.25,79.25,2.5,2.0,1.0,4.0,3.5,2.5,3.5,3.0,3.5,4.0,4.0,4.5,5.0,3.0,5.0,37.5,25.0,0.0,75.0,62.5,37.5,62.5,50.0,62.5,75.0,75.0,87.5,100.0,50.0,100.0
P_c5b4fe504a,S_P_c5b4fe504a,P_c5b4fe504a,,,,BFI-2-S,2.0,3.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,4.67,3.33,3.5,2.83,2.83,91.75,58.25,62.5,45.75,45.75,3.5,4.5,2.5,2.5,3.5,2.5,4.5,2.5,3.0,3.5,3.0,2.0,5.0,5.0,4.0,62.5,87.5,37.5,37.5,62.5,37.5,87.5,37.5,50.0,62.5,50.0,25.0,100.0,100.0,75.0
P_c7408dd487,S_P_c7408dd487,P_c7408dd487,,,,BFI-2-S,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0,50.0,50.0,50.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
P_d28ed72b52,S_P_d28ed72b52,P_d28ed72b52,23-30岁,男,身份类型：研究生,BFI-2-S,2.0,5.0,2.0,4.0,5.0,1.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.5,4.17,2.5,3.67,3.33,87.5,79.25,37.5,66.75,58.25,3.0,1.0,3.5,4.5,3.5,3.0,4.0,4.5,4.0,4.0,4.0,2.0,5.0,4.5,4.0,50.0,0.0,62.5,87.5,62.5,50.0,75.0,87.5,75.0,75.0,75.0,25.0,100.0,87.5,75.0
P_da97514638,S_P_da97514638,P_da97514638,18-22岁,女,身份类型：本科生；补充说明：实习生,BFI-2-S,2.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,3.33,4.0,4.0,3.67,2.67,58.25,75.0,75.0,66.75,41.75,4.0,4.0,4.0,3.5,4.0,3.5,4.0,3.5,4.5,3.5,2.0,2.5,3.5,3.0,3.5,75.0,75.0,75.0,62.5,75.0,62.5,75.0,62.5,87.5,62.5,25.0,37.5,62.5,50.0,62.5
P_ddeb7f5649,S_P_ddeb7f5649,P_ddeb7f5649,18-22岁,女,身份类型：本科生,BFI-2-S,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,3.33,3.5,3.67,3.5,3.17,58.25,62.5,66.75,62.5,54.25,3.5,3.5,4.0,3.5,4.0,3.0,3.0,3.5,4.0,3.5,3.0,3.0,3.5,3.5,3.0,62.5,62.5,75.0,62.5,75.0,50.0,50.0,62.5,75.0,62.5,50.0,50.0,62.5,62.5,50.0
P_ec2d573723,S_P_ec2d573723,P_ec2d573723,18-22岁,女,身份类型：本科生,BFI-2-S,4.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,5.0,2.0,2.0,1.0,5.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,3.67,3.17,1.33,2.17,3.33,66.75,54.25,8.25,29.25,58.25,1.5,1.0,1.5,1.0,3.0,2.5,3.0,3.5,3.0,4.0,4.0,2.0,4.5,3.0,3.5,12.5,0.0,12.5,0.0,50.0,37.5,50.0,62.5,50.0,75.0,75.0,25.0,87.5,50.0,62.5
P_f2f8dabf10,S_P_f2f8dabf10,P_f2f8dabf10,,,,BFI-2-S,4.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.33,3.0,2.83,2.17,75.0,58.25,50.0,45.75,29.25,2.5,3.5,3.0,2.0,3.5,3.0,3.0,4.0,3.0,2.5,2.0,2.0,4.0,4.0,4.0,37.5,62.5,50.0,25.0,62.5,50.0,50.0,75.0,50.0,37.5,25.0,25.0,75.0,75.0,75.0
